k,n,metric,value,seqMode
1,22,"sharedShapeStatePool",11,"unary-cover-no-reassoc"
1,22,"langContPruneShapeStatePool",3,"unary-cover-no-reassoc"
1,23,"strongTree",2,"unary-cover-no-reassoc"
1,23,"cubicTree",11,"unary-cover-no-reassoc"
1,23,"sharedShapeStatePool",11,"unary-cover-no-reassoc"
1,23,"langContPruneShapeStatePool",3,"unary-cover-no-reassoc"
1,24,"strongTree",2,"unary-cover-no-reassoc"
1,24,"cubicTree",11,"unary-cover-no-reassoc"
1,24,"sharedShapeStatePool",11,"unary-cover-no-reassoc"
1,24,"langContPruneShapeStatePool",3,"unary-cover-no-reassoc"
1,25,"strongTree",2,"unary-cover-no-reassoc"
1,25,"cubicTree",11,"unary-cover-no-reassoc"
1,25,"sharedShapeStatePool",11,"unary-cover-no-reassoc"
1,25,"langContPruneShapeStatePool",3,"unary-cover-no-reassoc"
1,26,"strongTree",2,"unary-cover-no-reassoc"
1,26,"cubicTree",11,"unary-cover-no-reassoc"
1,26,"sharedShapeStatePool",11,"unary-cover-no-reassoc"
1,26,"langContPruneShapeStatePool",3,"unary-cover-no-reassoc"
1,27,"strongTree",2,"unary-cover-no-reassoc"
1,27,"cubicTree",11,"unary-cover-no-reassoc"
1,27,"sharedShapeStatePool",11,"unary-cover-no-reassoc"
1,27,"langContPruneShapeStatePool",3,"unary-cover-no-reassoc"
1,28,"strongTree",2,"unary-cover-no-reassoc"
1,28,"cubicTree",11,"unary-cover-no-reassoc"
1,28,"sharedShapeStatePool",11,"unary-cover-no-reassoc"
1,28,"langContPruneShapeStatePool",3,"unary-cover-no-reassoc"
1,29,"strongTree",2,"unary-cover-no-reassoc"
1,29,"cubicTree",11,"unary-cover-no-reassoc"
1,29,"sharedShapeStatePool",11,"unary-cover-no-reassoc"
1,29,"langContPruneShapeStatePool",3,"unary-cover-no-reassoc"
1,30,"strongTree",2,"unary-cover-no-reassoc"
1,30,"cubicTree",11,"unary-cover-no-reassoc"
1,30,"sharedShapeStatePool",11,"unary-cover-no-reassoc"
1,30,"langContPruneShapeStatePool",3,"unary-cover-no-reassoc"
2,0,"strongTree",13,"unary-cover-no-reassoc"
2,0,"cubicTree",13,"unary-cover-no-reassoc"
2,0,"sharedShapeStatePool",9,"unary-cover-no-reassoc"
2,0,"langContPruneShapeStatePool",4,"unary-cover-no-reassoc"
2,1,"strongTree",27,"unary-cover-no-reassoc"
2,1,"cubicTree",28,"unary-cover-no-reassoc"
2,1,"sharedShapeStatePool",19,"unary-cover-no-reassoc"
2,1,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,2,"strongTree",59,"unary-cover-no-reassoc"
2,2,"cubicTree",55,"unary-cover-no-reassoc"
2,2,"sharedShapeStatePool",22,"unary-cover-no-reassoc"
2,2,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,3,"strongTree",74,"unary-cover-no-reassoc"
2,3,"cubicTree",55,"unary-cover-no-reassoc"
2,3,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,3,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,4,"strongTree",72,"unary-cover-no-reassoc"
2,4,"cubicTree",55,"unary-cover-no-reassoc"
2,4,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,4,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,5,"strongTree",74,"unary-cover-no-reassoc"
2,5,"cubicTree",55,"unary-cover-no-reassoc"
2,5,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,5,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,6,"strongTree",72,"unary-cover-no-reassoc"
2,6,"cubicTree",55,"unary-cover-no-reassoc"
2,6,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,6,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,7,"strongTree",74,"unary-cover-no-reassoc"
2,7,"cubicTree",55,"unary-cover-no-reassoc"
2,7,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,7,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,8,"strongTree",72,"unary-cover-no-reassoc"
2,8,"cubicTree",55,"unary-cover-no-reassoc"
2,8,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,8,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,9,"strongTree",74,"unary-cover-no-reassoc"
2,9,"cubicTree",55,"unary-cover-no-reassoc"
2,9,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,9,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,10,"strongTree",72,"unary-cover-no-reassoc"
2,10,"cubicTree",55,"unary-cover-no-reassoc"
2,10,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,10,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,11,"strongTree",74,"unary-cover-no-reassoc"
2,11,"cubicTree",55,"unary-cover-no-reassoc"
2,11,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,11,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,12,"strongTree",72,"unary-cover-no-reassoc"
2,12,"cubicTree",55,"unary-cover-no-reassoc"
2,12,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,12,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,13,"strongTree",74,"unary-cover-no-reassoc"
2,13,"cubicTree",55,"unary-cover-no-reassoc"
2,13,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,13,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,14,"strongTree",72,"unary-cover-no-reassoc"
2,14,"cubicTree",55,"unary-cover-no-reassoc"
2,14,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,14,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,15,"strongTree",74,"unary-cover-no-reassoc"
2,15,"cubicTree",55,"unary-cover-no-reassoc"
2,15,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,15,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,16,"strongTree",72,"unary-cover-no-reassoc"
2,16,"cubicTree",55,"unary-cover-no-reassoc"
2,16,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,16,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,17,"strongTree",74,"unary-cover-no-reassoc"
2,17,"cubicTree",55,"unary-cover-no-reassoc"
2,17,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,17,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,18,"strongTree",72,"unary-cover-no-reassoc"
2,18,"cubicTree",55,"unary-cover-no-reassoc"
2,18,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,18,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,19,"strongTree",74,"unary-cover-no-reassoc"
2,19,"cubicTree",55,"unary-cover-no-reassoc"
2,19,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,19,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,20,"strongTree",72,"unary-cover-no-reassoc"
2,20,"cubicTree",55,"unary-cover-no-reassoc"
2,20,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,20,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,21,"strongTree",74,"unary-cover-no-reassoc"
2,21,"cubicTree",55,"unary-cover-no-reassoc"
2,21,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,21,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,22,"strongTree",72,"unary-cover-no-reassoc"
2,22,"cubicTree",55,"unary-cover-no-reassoc"
2,22,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,22,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,23,"strongTree",74,"unary-cover-no-reassoc"
2,23,"cubicTree",55,"unary-cover-no-reassoc"
2,23,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,23,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,24,"strongTree",72,"unary-cover-no-reassoc"
2,24,"cubicTree",55,"unary-cover-no-reassoc"
2,24,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,24,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,25,"strongTree",74,"unary-cover-no-reassoc"
2,25,"cubicTree",55,"unary-cover-no-reassoc"
2,25,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,25,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,26,"strongTree",72,"unary-cover-no-reassoc"
2,26,"cubicTree",55,"unary-cover-no-reassoc"
2,26,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,26,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,27,"strongTree",74,"unary-cover-no-reassoc"
2,27,"cubicTree",55,"unary-cover-no-reassoc"
