k,n,metric,value,seqMode
5,40,"strongMemoActivePairBudget",3970,"unary-cover-no-reassoc"
5,40,"strongMemoStates",2868,"unary-cover-no-reassoc"
5,40,"strongMemoSplitProbes",13281,"unary-cover-no-reassoc"
5,40,"strongMemoSpanBound",77326,"unary-cover-no-reassoc"
5,40,"strongMemoSplitBound",3170366,"unary-cover-no-reassoc"
5,44,"strongMemoTree",959,"unary-cover-no-reassoc"
5,44,"strongMemoActiveRows",68,"unary-cover-no-reassoc"
5,44,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,44,"strongMemoActiveMaxBucket",67,"unary-cover-no-reassoc"
5,44,"strongMemoActivePairBudget",4490,"unary-cover-no-reassoc"
5,44,"strongMemoStates",3418,"unary-cover-no-reassoc"
5,44,"strongMemoSplitProbes",17337,"unary-cover-no-reassoc"
5,44,"strongMemoSpanBound",93150,"unary-cover-no-reassoc"
5,44,"strongMemoSplitBound",4191750,"unary-cover-no-reassoc"
5,48,"strongMemoTree",903,"unary-cover-no-reassoc"
5,48,"strongMemoActiveRows",72,"unary-cover-no-reassoc"
5,48,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,48,"strongMemoActiveMaxBucket",71,"unary-cover-no-reassoc"
5,48,"strongMemoActivePairBudget",5042,"unary-cover-no-reassoc"
5,48,"strongMemoStates",4016,"unary-cover-no-reassoc"
5,48,"strongMemoSplitProbes",22145,"unary-cover-no-reassoc"
5,48,"strongMemoSpanBound",110446,"unary-cover-no-reassoc"
5,48,"strongMemoSplitBound",5411854,"unary-cover-no-reassoc"
5,52,"strongMemoTree",947,"unary-cover-no-reassoc"
5,52,"strongMemoActiveRows",76,"unary-cover-no-reassoc"
5,52,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,52,"strongMemoActiveMaxBucket",75,"unary-cover-no-reassoc"
5,52,"strongMemoActivePairBudget",5626,"unary-cover-no-reassoc"
5,52,"strongMemoStates",4662,"unary-cover-no-reassoc"
5,52,"strongMemoSplitProbes",27769,"unary-cover-no-reassoc"
5,52,"strongMemoSpanBound",129214,"unary-cover-no-reassoc"
5,52,"strongMemoSplitBound",6848342,"unary-cover-no-reassoc"
5,56,"strongMemoTree",947,"unary-cover-no-reassoc"
5,56,"strongMemoActiveRows",80,"unary-cover-no-reassoc"
5,56,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,56,"strongMemoActiveMaxBucket",79,"unary-cover-no-reassoc"
5,56,"strongMemoActivePairBudget",6242,"unary-cover-no-reassoc"
5,56,"strongMemoStates",5356,"unary-cover-no-reassoc"
5,56,"strongMemoSplitProbes",34273,"unary-cover-no-reassoc"
5,56,"strongMemoSpanBound",149454,"unary-cover-no-reassoc"
5,56,"strongMemoSplitBound",8518878,"unary-cover-no-reassoc"
5,60,"strongMemoTree",957,"unary-cover-no-reassoc"
5,60,"strongMemoActiveRows",84,"unary-cover-no-reassoc"
5,60,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,60,"strongMemoActiveMaxBucket",83,"unary-cover-no-reassoc"
5,60,"strongMemoActivePairBudget",6890,"unary-cover-no-reassoc"
5,60,"strongMemoStates",6098,"unary-cover-no-reassoc"
5,60,"strongMemoSplitProbes",41721,"unary-cover-no-reassoc"
5,60,"strongMemoSpanBound",171166,"unary-cover-no-reassoc"
5,60,"strongMemoSplitBound",10441126,"unary-cover-no-reassoc"
5,64,"strongMemoTree",959,"unary-cover-no-reassoc"
5,64,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,64,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,64,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,64,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,64,"strongMemoStates",6888,"unary-cover-no-reassoc"
5,64,"strongMemoSplitProbes",50177,"unary-cover-no-reassoc"
5,64,"strongMemoSpanBound",194350,"unary-cover-no-reassoc"
5,64,"strongMemoSplitBound",12632750,"unary-cover-no-reassoc"
5,68,"strongMemoTree",947,"unary-cover-no-reassoc"
5,68,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,68,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,68,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,68,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,68,"strongMemoStates",7726,"unary-cover-no-reassoc"
5,68,"strongMemoSplitProbes",59705,"unary-cover-no-reassoc"
5,68,"strongMemoSpanBound",219006,"unary-cover-no-reassoc"
5,68,"strongMemoSplitBound",15111414,"unary-cover-no-reassoc"
5,72,"strongMemoTree",947,"unary-cover-no-reassoc"
