k,n,metric,value,seqMode
8,8,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,12,"strongTree",2269,"unary-cover-no-reassoc"
8,12,"strongMemoDag",112,"unary-cover-no-reassoc"
8,12,"strongMemoFinalActiveMaxRowDag",61,"unary-cover-no-reassoc"
8,12,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,16,"strongTree",2691,"unary-cover-no-reassoc"
8,16,"strongMemoDag",137,"unary-cover-no-reassoc"
8,16,"strongMemoFinalActiveMaxRowDag",61,"unary-cover-no-reassoc"
8,16,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,20,"strongTree",2641,"unary-cover-no-reassoc"
8,20,"strongMemoDag",117,"unary-cover-no-reassoc"
8,20,"strongMemoFinalActiveMaxRowDag",61,"unary-cover-no-reassoc"
8,20,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,24,"strongTree",2778,"unary-cover-no-reassoc"
8,24,"strongMemoDag",124,"unary-cover-no-reassoc"
8,24,"strongMemoFinalActiveMaxRowDag",61,"unary-cover-no-reassoc"
8,24,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,28,"strongTree",2642,"unary-cover-no-reassoc"
8,28,"strongMemoDag",120,"unary-cover-no-reassoc"
8,28,"strongMemoFinalActiveMaxRowDag",61,"unary-cover-no-reassoc"
8,28,"strongMemoFinalActiveRows",8,"unary-cover-no-reassoc"
8,32,"strongTree",2879,"unary-cover-no-reassoc"
8,32,"strongMemoDag",129,"unary-cover-no-reassoc"
8,32,"strongMemoFinalActiveMaxRowDag",61,"unary-cover-no-reassoc"
8,32,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,36,"strongTree",2837,"unary-cover-no-reassoc"
8,36,"strongMemoDag",128,"unary-cover-no-reassoc"
8,36,"strongMemoFinalActiveMaxRowDag",61,"unary-cover-no-reassoc"
8,36,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,40,"strongTree",2968,"unary-cover-no-reassoc"
8,40,"strongMemoDag",127,"unary-cover-no-reassoc"
8,40,"strongMemoFinalActiveMaxRowDag",61,"unary-cover-no-reassoc"
8,40,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,44,"strongTree",2932,"unary-cover-no-reassoc"
8,44,"strongMemoDag",134,"unary-cover-no-reassoc"
8,44,"strongMemoFinalActiveMaxRowDag",61,"unary-cover-no-reassoc"
8,44,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,48,"strongTree",2963,"unary-cover-no-reassoc"
8,48,"strongMemoDag",123,"unary-cover-no-reassoc"
8,48,"strongMemoFinalActiveMaxRowDag",61,"unary-cover-no-reassoc"
8,48,"strongMemoFinalActiveRows",8,"unary-cover-no-reassoc"
8,52,"strongTree",3035,"unary-cover-no-reassoc"
8,52,"strongMemoDag",143,"unary-cover-no-reassoc"
8,52,"strongMemoFinalActiveMaxRowDag",61,"unary-cover-no-reassoc"
8,52,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,56,"strongTree",3060,"unary-cover-no-reassoc"
8,56,"strongMemoDag",128,"unary-cover-no-reassoc"
8,56,"strongMemoFinalActiveMaxRowDag",61,"unary-cover-no-reassoc"
8,56,"strongMemoFinalActiveRows",8,"unary-cover-no-reassoc"
8,60,"strongTree",3120,"unary-cover-no-reassoc"
8,60,"strongMemoDag",124,"unary-cover-no-reassoc"
8,60,"strongMemoFinalActiveMaxRowDag",61,"unary-cover-no-reassoc"
8,60,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,64,"strongTree",3245,"unary-cover-no-reassoc"
8,64,"strongMemoDag",133,"unary-cover-no-reassoc"
8,64,"strongMemoFinalActiveMaxRowDag",61,"unary-cover-no-reassoc"
8,64,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,68,"strongTree",3213,"unary-cover-no-reassoc"
8,68,"strongMemoDag",130,"unary-cover-no-reassoc"
